STRUCTURE;STRUCTURE_ID;STRUCTURE_NAME;ACTION;GR_KT_GDE;Grossregionen, Kantone, Bezirke und Gemeinden;WOHN_ANZAHL;Anzahl Zimmer;LEERWOHN_TYP;Typ der leer stehenden Wohnung;MEASURE_DIMENSION;Art der Messung;FREQ;Frequenz der Beobachtung;TIME_PERIOD;Zeitperiode;OBS_VALUE;Beobachtungswert;DIFF_DB_STATE;Stand der Datenbank;DIFF_EMBARGO_DATE;Publikationsdatum;DIFF_LAST_UPDATE;Aktualisierungsdatum;DIFF_REGION_STATE;Raumbezugsdatum;DECIMALS;Dezimalstellen;DIFF_REGION_REF;Raumbezug;OBS_STATUS;Beobachtungsstatus
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;101;Steinmaur;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;1.82;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1010;Escholzmatt-Marbach;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;1.24;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;102;Weiach;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.39;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1021;Aesch (LU);_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.94;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1023;Ballwil;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.08;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1024;Emmen;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;1.47;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1025;Ermensee;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.43;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1026;Eschenbach (LU);_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.24;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1030;Hitzkirch;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.81;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1031;Hochdorf;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.2;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1032;Hohenrain;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.37;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1033;Inwil;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.85;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1037;Rain;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.22;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1039;Römerswil;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.25;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1040;Rothenburg;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.09;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1041;Schongau;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;2.96;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1051;Adligenswil;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.64;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1052;Buchrain;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.96;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1053;Dierikon;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.56;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1054;Ebikon;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.71;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1055;Gisikon;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.3;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1056;Greppen;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;1.35;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1058;Horw;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.31;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1059;Kriens;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.51;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1061;Luzern;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;1.01;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1062;Malters;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.14;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1063;Meggen;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.44;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1064;Meierskappel;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;1.23;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1065;Root;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;1.02;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1066;Schwarzenberg;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.45;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1067;Udligenswil;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.82;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1068;Vitznau;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.51;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1069;Weggis;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.76;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1081;Beromünster;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.46;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1082;Büron;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.74;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1083;Buttisholz;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.4;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1084;Eich;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.93;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1085;Geuensee;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;1.28;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1086;Grosswangen;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.2;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1088;Hildisrieden;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.18;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1089;Knutwil;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.44;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1091;Mauensee;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;1.32;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1093;Neuenkirch;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.13;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1094;Nottwil;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.11;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1095;Oberkirch;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.09;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1097;Rickenbach (LU);_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.29;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
DATAFLOW;CH1.LWZ:DF_LWZ_1(1.0.0);Leer stehende Wohnungen nach Grossregion, Kanton, Bezirk, Gemeinde, Anzahl Wohnräumen und Typ der Leerwohnung;I;1098;Ruswil;_T;Total;_T;Leer stehende Wohnungen (alle Typen);PC;Anteil (in %);A;Jährlich;2025;;0.18;;2025-09-09;;2025-09-09T08:30;;2025-09-09T08:30;;2025-04-06;;2;Zwei;POLG;Gemeinden;A;Normaler Wert
